Task ID,Material,Seed,Actual required temp (C),Full,,,,,,,,No-Reflow,,,,,,,,No-POMCP,,,,,,,
,,,,Broad,,,,Narrow,,,,Broad,,,,Narrow,,,,Broad,,,,Narrow,,,
,,,,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost,RVR,Submit temp (C),Cost,Inspect cost
铝合金-180-000,铝合金,972960000,296.0892431558666,0,377,173.5,20.0,0,327,88.5,10.0,0,342,111.0,10.0,0,312,66.0,10.0,1,307,50.0,0.0,1,307,50.0,0.0
铝合金-180-001,铝合金,972960010,291.925397603892,0,341,88.0,10.0,0,336,80.5,10.0,0,332,88.5,10.0,0,337,86.0,0.0,0,348,71.5,0.0,0,348,71.5,0.0
铝合金-180-002,铝合金,972960020,284.4955541861234,0,331,78.0,10.0,0,346,100.5,10.0,0,317,71.0,10.0,0,327,86.0,10.0,0,348,76.5,0.0,0,348,76.5,0.0
铝合金-180-003,铝合金,972960030,312.7793380982346,0,337,96.0,10.0,0,327,81.0,10.0,0,412,218.5,20.0,0,327,71.0,0.0,1,307,50.0,0.0,1,307,50.0,0.0
铝合金-180-004,铝合金,972960040,304.7017499266922,0,332,68.5,10.0,0,357,96.0,0.0,0,362,138.5,10.0,0,327,76.0,0.0,0,348,66.5,0.0,0,348,66.5,0.0
铝合金-180-005,铝合金,972960050,314.9429160949461,0,358,86.5,10.0,0,368,91.5,0.0,0,342,103.5,10.0,0,327,71.0,0.0,0,348,61.5,0.0,0,348,61.5,0.0
铝合金-180-006,铝合金,972960060,324.8843094757337,0,346,80.5,10.0,0,356,85.5,0.0,0,368,96.5,10.0,0,368,86.5,0.0,0,348,56.5,0.0,0,348,56.5,0.0
铝合金-180-007,铝合金,972960070,336.9792433162337,0,373,86.5,10.0,0,368,79.0,10.0,0,373,106.5,20.0,0,353,76.5,20.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-180-008,铝合金,972960080,306.6370205279219,0,322,86.0,20.0,0,327,93.5,20.0,0,337,108.5,20.0,0,327,73.5,0.0,0,348,64.0,0.0,0,348,64.0,0.0
铝合金-180-009,铝合金,972960090,292.5627368265343,0,331,73.0,10.0,0,336,80.5,10.0,0,377,156.0,10.0,0,327,81.0,10.0,0,348,71.5,0.0,0,348,71.5,0.0
铝合金-200-034,铝合金,972960341,290.33369324792034,0,345,80.0,10.0,0,345,80.0,10.0,0,327,71.0,10.0,0,327,71.0,10.0,0,348,71.5,0.0,0,348,71.5,0.0
铝合金-200-035,铝合金,972960351,351.43751842374724,0,377,106.0,20.0,0,367,71.0,0.0,0,397,136.0,20.0,0,367,71.0,0.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-200-036,铝合金,972960361,312.14914804287633,0,351,73.0,10.0,0,361,88.0,10.0,0,356,95.5,10.0,0,346,80.5,10.0,0,348,61.5,0.0,0,348,61.5,0.0
铝合金-200-037,铝合金,972960371,290.40842211585783,0,356,90.5,10.0,0,371,113.0,10.0,0,352,108.5,10.0,0,342,93.5,10.0,0,348,71.5,0.0,0,348,71.5,0.0
铝合金-200-038,铝合金,972960381,303.5399532840555,0,361,93.0,10.0,0,366,100.5,10.0,0,336,70.5,10.0,0,336,70.5,10.0,0,348,66.5,0.0,0,348,66.5,0.0
铝合金-200-039,铝合金,972960391,319.03951119597644,0,351,70.5,10.0,0,351,70.5,10.0,0,407,188.5,20.0,0,342,81.0,10.0,0,348,59.0,0.0,0,348,59.0,0.0
铝合金-200-040,铝合金,972960401,340.31993002370285,0,361,73.0,10.0,0,356,75.5,20.0,0,365,85.0,10.0,0,360,97.5,30.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-200-041,铝合金,972960411,346.92352542892473,0,397,138.5,20.0,0,372,81.0,0.0,0,387,113.5,10.0,0,367,83.5,10.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-200-042,铝合金,972960421,290.9643428440105,0,351,83.0,10.0,0,351,83.0,10.0,0,327,71.0,10.0,0,347,91.0,0.0,0,348,71.5,0.0,0,348,71.5,0.0
铝合金-200-043,铝合金,972960431,321.2410744922463,0,356,75.5,10.0,0,371,88.0,0.0,0,345,65.0,10.0,0,355,80.0,10.0,0,348,56.5,0.0,0,348,56.5,0.0
铝合金-220-067,铝合金,972960672,308.77220298258254,0,360,95.0,10.0,0,355,87.5,10.0,0,362,136.0,20.0,0,332,81.0,10.0,0,348,64.0,0.0,0,348,64.0,0.0
铝合金-220-068,铝合金,972960682,322.33073153038254,0,366,90.5,10.0,0,361,83.0,10.0,0,372,143.5,20.0,0,337,71.0,0.0,0,348,56.5,0.0,0,348,56.5,0.0
铝合金-220-069,铝合金,972960692,354.81707334722194,0,371,93.0,20.0,0,371,73.0,0.0,0,412,188.5,20.0,1,337,80.0,10.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-220-070,铝合金,972960702,353.14655756788,0,386,70.5,10.0,0,391,78.0,10.0,0,382,133.5,10.0,1,342,85.0,10.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-220-071,铝合金,972960712,326.26153250955485,0,396,98.0,10.0,0,406,103.0,0.0,0,367,133.5,20.0,1,337,70.0,0.0,0,348,54.0,0.0,0,348,54.0,0.0
铝合金-220-072,铝合金,972960722,354.91843515410534,0,386,70.5,10.0,0,406,90.5,0.0,0,412,188.5,20.0,1,337,70.0,0.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-220-073,铝合金,972960732,298.4177582859176,0,386,98.0,10.0,0,386,98.0,10.0,0,362,161.0,40.0,0,322,71.0,10.0,0,348,69.0,0.0,0,348,69.0,0.0
铝合金-220-074,铝合金,972960742,307.724019500352,0,386,93.0,10.0,0,396,108.0,10.0,0,347,103.5,10.0,0,327,73.5,10.0,0,348,64.0,0.0,0,348,64.0,0.0
铝合金-220-075,铝合金,972960752,386.48705510462025,0,436,138.0,20.0,0,411,90.5,10.0,0,412,171.0,20.0,1,337,70.0,0.0,1,348,50.0,0.0,1,348,50.0,0.0
铝合金-220-076,铝合金,972960762,322.3880935176892,0,386,85.5,10.0,0,386,85.5,10.0,0,412,203.5,20.0,0,342,78.5,0.0,0,348,56.5,0.0,0,348,56.5,0.0
